version,date,tester,scenario,scenario_class,nation,turn,primary_decision,why,clarity_1_5,tension_1_5,pace_1_5,dominant_strategy,blocker_or_confusion,gold,food,stability,legitimacy,provinces,wars,pending_events,want_to_continue_1_5,notes
,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,2,,,,,,,,,,,,,,,,
,,,,,,3,,,,,,,,,,,,,,,,
,,,,,,4,,,,,,,,,,,,,,,,
,,,,,,5,,,,,,,,,,,,,,,,
,,,,,,6,,,,,,,,,,,,,,,,
,,,,,,7,,,,,,,,,,,,,,,,
,,,,,,8,,,,,,,,,,,,,,,,
,,,,,,9,,,,,,,,,,,,,,,,
,,,,,,10,,,,,,,,,,,,,,,,
,,,,,,11,,,,,,,,,,,,,,,,
,,,,,,12,,,,,,,,,,,,,,,,
,,,,,,13,,,,,,,,,,,,,,,,
,,,,,,14,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,
,,,,,,16,,,,,,,,,,,,,,,,
,,,,,,17,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,
,,,,,,19,,,,,,,,,,,,,,,,
,,,,,,20,,,,,,,,,,,,,,,,
